Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	1	4	1	1	6500	138	1	2	4000	8.0001	1	0	0	0.41762
25000	13000	trial type	1	4	1	1	6500	1	107	1	2000	25	2	0	0	0.29183
40000	13000	trial type	4	2	2	2	6500	2	243	1	2000	40	99	0	1	NaN
55000	13000	trial type	2	1	2	1	6500	1	108	1	4000	55	2	0	0	1.2009
72000	13000	trial type	3	1	1	3	6500	336	3	2	2000	72.0001	2	1	0	0.30991
87000	13000	trial type	1	2	1	1	6500	134	1	2	2000	87	99	0	1	NaN
102000	13000	trial type	2	1	2	1	6500	102	1	2	2000	102	99	0	1	NaN
117000	13000	trial type	3	2	2	2	6500	240	2	2	2000	117	2	1	0	0.42095
132000	13000	trial type	1	4	2	4	6500	448	4	2	4000	132	99	0	1	NaN
149000	13000	trial type	3	1	2	1	6500	1	140	1	2000	149	99	0	1	NaN
164000	13000	trial type	2	3	1	2	6500	2	232	1	4000	164	99	0	1	NaN
181000	13000	trial type	3	4	1	3	6500	3	348	1	4000	181	1	1	0	0.44513
198000	13000	trial type	1	2	2	2	6500	235	2	2	4000	198.0001	99	0	1	NaN
215000	13000	trial type	2	3	2	3	6500	3	322	1	4000	215	99	0	1	NaN
232000	13000	trial type	3	4	1	3	6500	314	3	2	4000	232	99	0	1	NaN
249000	13000	trial type	4	2	1	4	6500	4	408	1	4000	249	1	1	0	1.1078
266000	13000	trial type	1	3	2	3	6500	316	3	2	2000	266	99	0	1	NaN
281000	13000	trial type	3	1	1	3	6500	3	314	1	4000	281	2	0	0	0.95169
298000	13000	trial type	2	1	1	2	6500	2	246	1	4000	298	99	0	1	NaN
315000	13000	trial type	4	2	2	2	6500	223	2	2	4000	315	2	1	0	1.2425
332000	13000	trial type	3	2	1	3	6500	302	3	2	4000	332	1	0	0	1.1239
