Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	4	2	1	4	6500	434	4	2	4000	8.000022e+000	99	0	1	-1
25000	13000	trial type	2	1	1	2	6500	230	2	2	4000	2.500002e+001	99	0	1	-1
42000	13000	trial type	2	4	1	2	6500	205	2	2	2000	4.200001e+001	1	0	0	1.396113e+000
57000	13000	trial type	4	1	1	4	6500	411	4	2	4000	5.700001e+001	99	0	1	-1
74000	13000	trial type	3	2	1	3	6500	3	343	1	2000	7.400001e+001	1	1	0	1.207786e+000
89000	13000	trial type	3	4	1	3	6500	321	3	2	2000	8.900001e+001	2	1	0	1.123152e+000
104000	13000	trial type	2	3	1	2	6500	2	221	1	4000	1.040000e+002	1	1	0	1.026591e+000
121000	13000	trial type	2	3	1	2	6500	217	2	2	2000	1.210000e+002	2	1	0	9.619947e-001
136000	13000	trial type	1	4	1	1	6500	1	117	1	4000	1.360000e+002	2	0	0	6.931685e-001
153000	13000	trial type	4	3	1	4	6500	4	427	1	4000	1.530000e+002	2	0	0	8.517850e-001
170000	13000	trial type	3	1	1	3	6500	3	319	1	2000	1.700000e+002	1	1	0	9.341585e-001
185000	13000	trial type	4	1	1	4	6500	4	429	1	2000	1.850000e+002	1	1	0	1.073042e+000
200000	13000	trial type	2	4	1	2	6500	2	237	1	2000	2.000000e+002	1	1	0	1.160622e+000
215000	13000	trial type	4	3	1	4	6500	403	4	2	2000	2.150000e+002	1	0	0	6.800745e-001
230000	13000	trial type	3	2	1	3	6500	327	3	2	4000	2.300001e+002	2	1	0	8.954463e-001
247000	13000	trial type	1	2	1	1	6500	124	1	2	2000	2.470000e+002	1	0	0	6.549257e-001
262000	13000	trial type	1	4	1	1	6500	118	1	2	4000	2.620000e+002	2	1	0	8.870664e-001
279000	13000	trial type	2	1	1	2	6500	2	212	1	2000	2.790000e+002	1	1	0	7.516273e-001
294000	13000	trial type	3	1	1	3	6500	316	3	2	4000	2.940000e+002	2	1	0	6.258604e-001
311000	13000	trial type	1	2	1	1	6500	1	108	1	2000	3.110000e+002	2	0	0	5.024478e-001
326000	13000	trial type	3	4	1	3	6500	3	336	1	4000	3.260000e+002	1	1	0	1.002828e+000
343000	13000	trial type	4	2	1	4	6500	4	410	1	4000	3.430000e+002	2	0	0	7.751197e-001
360000	13000	trial type	1	3	1	1	6500	150	1	2	2000	3.600000e+002	1	0	0	7.785620e-001
375000	13000	trial type	1	3	1	1	6500	1	112	1	4000	3.750000e+002	2	0	0	5.508562e-001
