Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	3	2	2	2	6500	202	2	2	2000	8.002966e+000	1	0	0	3.533522e-001
23000	13000	trial type	3	1	2	1	6500	1	148	1	2000	2.300002e+001	2	0	0	2.024843e-001
38000	13000	trial type	4	2	2	2	6500	215	2	2	4000	3.800001e+001	2	1	0	4.207731e-001
55000	13000	trial type	4	1	2	1	6500	130	1	2	4000	5.500001e+001	2	1	0	5.739817e-001
72000	13000	trial type	2	1	2	1	6500	1	132	1	2000	7.200001e+001	1	1	0	5.105999e-001
87000	13000	trial type	1	3	1	1	6500	1	140	1	4000	8.700001e+001	1	1	0	4.990075e-001
104000	13000	trial type	4	1	1	4	6500	430	4	2	2000	1.040000e+002	1	0	0	4.310430e-001
119000	13000	trial type	4	3	1	4	6500	449	4	2	4000	1.190000e+002	2	1	0	6.471129e-001
136000	13000	trial type	2	4	2	4	6500	4	437	1	4000	1.360000e+002	2	0	0	4.565070e-001
153000	13000	trial type	1	3	1	1	6500	123	1	2	2000	1.530000e+002	1	0	0	5.179191e-001
168000	13000	trial type	2	1	1	2	6500	226	2	2	2000	1.680000e+002	1	0	0	2.991292e-001
183000	13000	trial type	1	4	2	4	6500	406	4	2	4000	1.830000e+002	2	1	0	4.547042e-001
200000	13000	trial type	3	4	1	3	6500	3	335	1	2000	2.000000e+002	1	1	0	3.503317e-001
215000	13000	trial type	2	1	1	2	6500	2	208	1	2000	2.150000e+002	1	1	0	4.772119e-001
230000	13000	trial type	2	4	1	2	6500	2	223	1	4000	2.300000e+002	2	0	0	4.525359e-001
247000	13000	trial type	3	2	1	3	6500	3	318	1	2000	2.470000e+002	1	1	0	4.896991e-001
262000	13000	trial type	3	2	1	3	6500	321	3	2	4000	2.620000e+002	2	1	0	5.999131e-001
279000	13000	trial type	3	4	1	3	6500	315	3	2	4000	2.790000e+002	2	1	0	5.126921e-001
296000	13000	trial type	4	2	1	4	6500	406	4	2	2000	2.960000e+002	1	0	0	2.569767e-001
311000	13000	trial type	2	1	2	1	6500	144	1	2	4000	3.110000e+002	1	0	0	6.233621e-001
328000	13000	trial type	4	1	2	1	6500	1	140	1	2000	3.280000e+002	2	0	0	3.563367e-001
343000	13000	trial type	1	2	1	1	6500	1	142	1	4000	3.430000e+002	1	1	0	5.329762e-001
360000	13000	trial type	2	3	2	3	6500	3	316	1	4000	3.600001e+002	2	0	0	6.651596e-001
377000	13000	trial type	2	4	1	2	6500	244	2	2	4000	3.770000e+002	1	0	0	2.834407e-001
