Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	1	3	1	1	6500	1	149	2	4000	8.000041e+00	1	0	0	3.939105e-01
25000	13000	trial type	3	2	1	3	6500	3	318	2	2000	2.500002e+01	1	0	0	6.943991e-01
40000	13000	trial type	2	4	2	4	6500	4	443	2	2000	4.000002e+01	2	1	0	7.518631e-01
55000	13000	trial type	3	1	2	1	6500	1	139	1	2000	5.500001e+01	1	1	0	4.920753e-01
70000	13000	trial type	4	3	2	3	6500	3	338	2	4000	7.000002e+01	1	0	0	3.688684e-01
87000	13000	trial type	1	2	1	1	6500	1	131	1	4000	8.700001e+01	1	1	0	9.620581e-01
104000	13000	trial type	2	3	1	2	6500	2	219	1	2000	1.040000e+02	2	0	0	5.617006e-01
119000	13000	trial type	4	3	1	4	6500	4	422	2	4000	1.190000e+02	1	0	0	4.640040e-01
136000	13000	trial type	2	1	1	2	6500	2	211	2	2000	1.360000e+02	1	0	0	3.973649e-01
151000	13000	trial type	1	2	2	2	6500	2	202	1	4000	1.510000e+02	2	0	0	5.455027e-01
168000	13000	trial type	3	2	2	2	6500	2	250	2	4000	1.680000e+02	1	0	0	3.626023e-01
185000	13000	trial type	2	4	1	2	6500	2	210	2	4000	1.850000e+02	1	0	0	5.673883e-01
202000	13000	trial type	3	4	2	4	6500	4	421	1	4000	2.020000e+02	1	1	0	9.905147e-01
219000	13000	trial type	1	4	1	1	6500	1	122	1	2000	2.190000e+02	1	1	0	7.839327e-01
234000	13000	trial type	4	2	2	2	6500	2	230	1	4000	2.340000e+02	2	0	0	6.917824e-01
251000	13000	trial type	4	1	2	1	6500	1	132	2	2000	2.510000e+02	1	0	0	4.112414e-01
266000	13000	trial type	2	3	2	3	6500	3	343	1	2000	2.660000e+02	1	1	0	9.705765e-01
281000	13000	trial type	3	1	1	3	6500	3	345	1	2000	2.810000e+02	1	1	0	6.732767e-01
296000	13000	trial type	2	1	2	1	6500	1	118	2	2000	2.960000e+02	1	0	0	3.354413e-01
311000	13000	trial type	1	4	2	4	6500	4	424	1	4000	3.110000e+02	1	1	0	7.247636e-01
328000	13000	trial type	4	2	1	4	6500	4	430	1	2000	3.280000e+02	2	0	0	1.113838e+00
343000	13000	trial type	3	4	1	3	6500	3	338	1	2000	3.430000e+02	1	1	0	7.585408e-01
358000	13000	trial type	4	1	1	4	6500	4	443	2	4000	3.580000e+02	2	1	0	1.023788e+00
375000	13000	trial type	1	3	2	3	6500	3	307	2	4000	3.750000e+02	1	0	0	7.383691e-01
