Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	3	2	2	2	6500	2	206	1	4000	8.003080e+00	2	0	0	3.847871e-01
25000	13000	trial type	1	4	2	4	6500	4	403	1	2000	2.500003e+01	2	0	0	4.531150e-01
40000	13000	trial type	1	2	1	1	6500	1	118	1	4000	4.000001e+01	1	1	0	3.563496e-01
57000	13000	trial type	1	2	2	2	6500	2	218	1	4000	5.700001e+01	2	0	0	6.209510e-01
74000	13000	trial type	4	1	1	4	6500	4	411	1	2000	7.400001e+01	2	0	0	4.582932e-01
89000	13000	trial type	1	4	1	1	6500	1	128	1	2000	8.900001e+01	2	0	0	4.090095e-01
104000	13000	trial type	1	3	1	1	6500	1	116	1	4000	1.040000e+02	1	1	0	5.415667e-01
121000	13000	trial type	4	1	2	1	6500	1	123	1	4000	1.210000e+02	1	1	0	3.248830e-01
138000	13000	trial type	4	2	1	4	6500	4	424	1	2000	1.380000e+02	1	1	0	2.321467e-01
153000	13000	trial type	3	2	1	3	6500	3	302	1	4000	1.530000e+02	1	1	0	7.042766e-01
170000	13000	trial type	2	1	1	2	6500	2	220	1	2000	1.700000e+02	1	1	0	3.886541e-01
185000	13000	trial type	4	3	1	4	6500	4	413	1	2000	1.850000e+02	2	0	0	7.049714e-01
200000	13000	trial type	2	3	1	2	6500	2	232	1	4000	2.000000e+02	1	1	0	6.535808e-01
217000	13000	trial type	3	4	1	3	6500	3	333	1	2000	2.170000e+02	1	1	0	7.189253e-01
232000	13000	trial type	2	3	2	3	6500	3	341	1	2000	2.320000e+02	1	1	0	3.124106e-01
247000	13000	trial type	1	3	2	3	6500	3	341	1	2000	2.470000e+02	1	1	0	3.070203e-01
262000	13000	trial type	3	1	2	1	6500	1	109	1	4000	2.620000e+02	1	1	0	6.563409e-01
279000	13000	trial type	2	4	1	2	6500	2	232	1	4000	2.790000e+02	2	0	0	7.674750e-01
296000	13000	trial type	4	2	2	2	6500	2	249	1	4000	2.960001e+02	1	1	0	3.389084e-01
313000	13000	trial type	3	1	1	3	6500	3	334	1	4000	3.130000e+02	2	0	0	1.078780e+00
330000	13000	trial type	2	4	2	4	6500	4	434	1	2000	3.300000e+02	1	1	0	6.865266e-01
345000	13000	trial type	3	4	2	4	6500	4	404	1	2000	3.450000e+02	1	1	0	4.433623e-01
360000	13000	trial type	4	3	2	3	6500	3	316	1	2000	3.600000e+02	1	1	0	1.997459e-01
375000	13000	trial type	2	1	2	1	6500	1	103	1	4000	3.750000e+02	2	0	0	4.180643e-01
