Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	2	1	2	1	6500	144	1	2	4000	8.002886e+00	2	1	0	4.541031e-01
25000	13000	trial type	2	3	2	3	6500	345	3	2	4000	2.500004e+01	2	1	0	8.085065e-01
42000	13000	trial type	3	2	2	2	6500	2	248	1	2000	4.200001e+01	1	1	0	6.229186e-01
57000	13000	trial type	2	4	2	4	6500	418	4	2	2000	5.700016e+01	2	1	0	7.957791e-01
72000	13000	trial type	1	2	2	2	6500	241	2	2	4000	7.200002e+01	1	0	0	8.630908e-01
89000	13000	trial type	4	1	2	1	6500	140	1	2	2000	8.900001e+01	2	1	0	4.834381e-01
104000	13000	trial type	1	3	1	1	6500	118	1	2	4000	1.040000e+02	2	1	0	8.220410e-01
121000	13000	trial type	1	4	1	1	6500	1	105	1	4000	1.210000e+02	2	0	0	7.501363e-01
138000	13000	trial type	4	3	1	4	6500	4	418	1	2000	1.380000e+02	1	1	0	6.465847e-01
153000	13000	trial type	4	2	2	2	6500	2	235	1	4000	1.530000e+02	1	1	0	7.568855e-01
170000	13000	trial type	4	1	2	1	6500	1	145	1	4000	1.700000e+02	1	1	0	9.068944e-01
187000	13000	trial type	3	1	1	3	6500	337	3	2	4000	1.870000e+02	2	1	0	3.905676e-01
204000	13000	trial type	1	3	2	3	6500	318	3	2	2000	2.040000e+02	2	1	0	4.027886e-01
219000	13000	trial type	2	3	2	3	6500	3	317	1	4000	2.190000e+02	1	1	0	7.155652e-01
236000	13000	trial type	2	3	1	2	6500	2	244	1	4000	2.360000e+02	1	1	0	7.374455e-01
253000	13000	trial type	2	1	1	2	6500	2	239	1	4000	2.530000e+02	2	0	0	7.609502e-01
270000	13000	trial type	3	4	2	4	6500	4	450	1	4000	2.700000e+02	1	1	0	5.133649e-01
287000	13000	trial type	2	1	2	1	6500	1	143	1	2000	2.870000e+02	1	1	0	5.345306e-01
302000	13000	trial type	3	2	1	3	6500	3	303	1	2000	3.020000e+02	1	1	0	4.765976e-01
317000	13000	trial type	3	2	2	2	6500	244	2	2	4000	3.170000e+02	2	1	0	4.611700e-01
334000	13000	trial type	1	4	2	4	6500	4	428	1	2000	3.340000e+02	1	1	0	8.040219e-01
349000	13000	trial type	4	3	2	3	6500	3	335	1	2000	3.490000e+02	1	1	0	5.806589e-01
364000	13000	trial type	4	1	1	4	6500	427	4	2	2000	3.640000e+02	2	1	0	5.411616e-01
379000	13000	trial type	3	4	2	4	6500	414	4	2	4000	3.790000e+02	2	1	0	5.450014e-01
