Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	2	1	1	2	6500	2	211	1	4000	8.003015e+00	1	1	0	7.011006e-01
25000	13000	trial type	3	2	2	2	6500	2	241	1	4000	2.500003e+01	2	0	0	7.672549e-01
42000	13000	trial type	4	3	2	3	6500	315	3	2	2000	4.200010e+01	2	1	0	6.195688e-01
57000	13000	trial type	1	3	1	1	6500	120	1	2	2000	5.700002e+01	2	1	0	1.172977e+00
72000	13000	trial type	3	4	1	3	6500	339	3	2	2000	7.200001e+01	2	1	0	9.167453e-01
87000	13000	trial type	2	1	2	1	6500	1	131	1	4000	8.700001e+01	1	1	0	7.652550e-01
104000	13000	trial type	2	4	1	2	6500	240	2	2	4000	1.040000e+02	1	0	0	9.035273e-01
121000	13000	trial type	4	3	1	4	6500	4	419	1	4000	1.210000e+02	1	1	0	4.281020e-01
138000	13000	trial type	1	2	1	1	6500	142	1	2	2000	1.380000e+02	2	1	0	4.662800e-01
153000	13000	trial type	4	2	2	2	6500	2	225	1	4000	1.530000e+02	1	1	0	8.586643e-01
170000	13000	trial type	1	4	2	4	6500	411	4	2	4000	1.700000e+02	2	1	0	6.269951e-01
187000	13000	trial type	1	3	2	3	6500	328	3	2	4000	1.870000e+02	2	1	0	5.870813e-01
204000	13000	trial type	3	1	1	3	6500	3	305	1	4000	2.040000e+02	1	1	0	6.658198e-01
221000	13000	trial type	4	3	2	3	6500	3	310	1	2000	2.210000e+02	1	1	0	4.399088e-01
236000	13000	trial type	1	4	1	1	6500	114	1	2	2000	2.360000e+02	2	1	0	6.611768e-01
251000	13000	trial type	2	1	1	2	6500	246	2	2	4000	2.510001e+02	2	1	0	8.085613e-01
268000	13000	trial type	4	1	1	4	6500	415	4	2	4000	2.680000e+02	2	1	0	8.929670e-01
285000	13000	trial type	3	1	2	1	6500	129	1	2	2000	2.850000e+02	2	1	0	6.360763e-01
300000	13000	trial type	1	4	2	4	6500	4	407	1	2000	3.000000e+02	1	1	0	5.062876e-01
315000	13000	trial type	1	2	2	2	6500	220	2	2	2000	3.150000e+02	2	1	0	4.348715e-01
330000	13000	trial type	1	4	1	1	6500	1	136	1	4000	3.300000e+02	1	1	0	8.389297e-01
347000	13000	trial type	2	4	2	4	6500	4	434	1	4000	3.470000e+02	1	1	0	8.403758e-01
364000	13000	trial type	3	2	1	3	6500	345	3	2	2000	3.640000e+02	2	1	0	3.648269e-01
379000	13000	trial type	4	2	1	4	6500	429	4	2	4000	3.790000e+02	2	1	0	7.868303e-01
