Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	1	3	2	3	6500	3	350	1	2000	8.000030e+00	1	1	0	4.128599e-01
23000	13000	trial type	1	3	1	1	6500	1	149	1	2000	2.300003e+01	2	0	0	5.395029e-01
38000	13000	trial type	2	3	2	3	6500	3	317	1	2000	3.800001e+01	1	1	0	5.242476e-01
53000	13000	trial type	4	2	2	2	6500	2	220	1	4000	5.300001e+01	1	1	0	3.886352e-01
70000	13000	trial type	1	4	1	1	6500	1	129	1	2000	7.000001e+01	1	1	0	5.081607e-01
85000	13000	trial type	3	2	2	2	6500	243	2	2	2000	8.500001e+01	2	1	0	5.931442e-01
100000	13000	trial type	1	4	2	4	6500	444	4	2	2000	1.000000e+02	2	1	0	3.324647e-01
115000	13000	trial type	4	2	2	2	6500	237	2	2	4000	1.150000e+02	1	0	0	5.620797e-01
132000	13000	trial type	3	2	1	3	6500	3	348	1	2000	1.320000e+02	1	1	0	5.332078e-01
147000	13000	trial type	1	2	2	2	6500	203	2	2	2000	1.470000e+02	1	0	0	4.981554e-01
162000	13000	trial type	4	2	1	4	6500	4	436	1	2000	1.620000e+02	2	0	0	4.202862e-01
177000	13000	trial type	4	1	1	4	6500	4	415	1	2000	1.770001e+02	1	1	0	3.288869e-01
192000	13000	trial type	2	1	2	1	6500	1	147	1	4000	1.920000e+02	1	1	0	3.067399e-01
209000	13000	trial type	3	2	1	3	6500	307	3	2	2000	2.090000e+02	2	1	0	3.493342e-01
224000	13000	trial type	1	2	1	1	6500	148	1	2	4000	2.240000e+02	2	1	0	3.740990e-01
241000	13000	trial type	3	1	1	3	6500	3	302	1	2000	2.410000e+02	1	1	0	5.242428e-01
256000	13000	trial type	4	1	2	1	6500	146	1	2	2000	2.560000e+02	2	1	0	8.028586e-01
271000	13000	trial type	1	4	2	4	6500	4	403	1	2000	2.710000e+02	1	1	0	4.128278e-01
286000	13000	trial type	2	4	2	4	6500	404	4	2	4000	2.860000e+02	2	1	0	3.106442e-01
303000	13000	trial type	4	3	2	3	6500	307	3	2	4000	3.030000e+02	1	0	0	4.905193e-01
320000	13000	trial type	4	1	2	1	6500	1	105	1	4000	3.200000e+02	2	0	0	4.229878e-01
337000	13000	trial type	3	4	2	4	6500	4	433	1	4000	3.370000e+02	2	0	0	1.218761e+00
354000	13000	trial type	1	3	2	3	6500	329	3	2	4000	3.540000e+02	2	1	0	3.702477e-01
371000	13000	trial type	2	1	2	1	6500	104	1	2	4000	3.710000e+02	2	1	0	2.863692e-01
388000	13000	trial type	2	4	2	4	6500	4	409	1	2000	3.880001e+02	2	0	0	3.978382e-01
403000	13000	trial type	4	2	1	4	6500	436	4	2	2000	4.030000e+02	1	0	0	4.582318e-01
418000	13000	trial type	3	1	2	1	6500	136	1	2	4000	4.180000e+02	2	1	0	3.685883e-01
435000	13000	trial type	2	3	2	3	6500	335	3	2	4000	4.350000e+02	2	1	0	3.151167e-01
452000	13000	trial type	2	4	1	2	6500	208	2	2	4000	4.520000e+02	2	1	0	2.694837e-01
469000	13000	trial type	2	1	1	2	6500	239	2	2	2000	4.690000e+02	2	1	0	3.357147e-01
484000	13000	trial type	3	4	1	3	6500	3	335	1	4000	4.840002e+02	1	1	0	1.037462e+00
501000	13000	trial type	3	2	2	2	6500	2	245	1	2000	5.010000e+02	1	1	0	8.017585e-01
516000	13000	trial type	1	2	1	1	6500	1	103	1	2000	5.160000e+02	1	1	0	5.069328e-01
531000	13000	trial type	4	3	1	4	6500	427	4	2	2000	5.310000e+02	2	1	0	1.131240e+00
546000	13000	trial type	2	3	1	2	6500	2	229	1	4000	5.460000e+02	2	0	0	8.627090e-01
563000	13000	trial type	2	4	1	2	6500	2	218	1	4000	5.630000e+02	2	0	0	7.357581e-01
580000	13000	trial type	2	1	1	2	6500	2	232	1	2000	5.800000e+02	1	1	0	9.558636e-01
595000	13000	trial type	3	1	2	1	6500	1	111	1	2000	5.950000e+02	1	1	0	9.345500e-01
610000	13000	trial type	4	1	1	4	6500	403	4	2	4000	6.100000e+02	2	1	0	5.281271e-01
627000	13000	trial type	1	2	2	2	6500	2	214	1	4000	6.270000e+02	1	1	0	3.523433e-01
644000	13000	trial type	4	3	1	4	6500	4	423	1	4000	6.440000e+02	1	1	0	3.299977e-01
661000	13000	trial type	1	3	1	1	6500	109	1	2	4000	6.610000e+02	2	1	0	4.942604e-01
678000	13000	trial type	3	1	1	3	6500	316	3	2	4000	6.780000e+02	2	1	0	3.778531e-01
695000	13000	trial type	3	4	1	3	6500	321	3	2	2000	6.950000e+02	2	1	0	8.670572e-01
710000	13000	trial type	2	3	1	2	6500	224	2	2	4000	7.100000e+02	2	1	0	3.082554e-01
727000	13000	trial type	1	4	1	1	6500	112	1	2	4000	7.270000e+02	2	1	0	6.418893e-01
744000	13000	trial type	4	3	2	3	6500	3	342	1	4000	7.440000e+02	1	1	0	4.257331e-01
761000	13000	trial type	3	4	2	4	6500	407	4	2	2000	7.610000e+02	2	1	0	4.395596e-01
