Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	3	4	1	3	6500	3	348	1	4000	8.003082e+00	1	1	0	3.903791e-01
25000	13000	trial type	4	3	1	4	6500	424	4	2	2000	2.500003e+01	2	1	0	7.912760e-01
40000	13000	trial type	4	3	2	3	6500	3	325	1	2000	4.000001e+01	1	1	0	3.735596e-01
55000	13000	trial type	4	2	2	2	6500	2	211	1	2000	5.500001e+01	2	0	0	1.163551e+00
70000	13000	trial type	3	2	1	3	6500	331	3	2	4000	7.000009e+01	2	1	0	4.454639e-01
87000	13000	trial type	1	3	1	1	6500	1	108	1	2000	8.700001e+01	1	1	0	7.364608e-01
102000	13000	trial type	4	2	2	2	6500	239	2	2	2000	1.020000e+02	2	1	0	4.257675e-01
117000	13000	trial type	3	2	1	3	6500	3	318	1	4000	1.170000e+02	1	1	0	3.486894e-01
134000	13000	trial type	1	3	1	1	6500	109	1	2	2000	1.340000e+02	2	1	0	3.473560e-01
149000	13000	trial type	3	1	1	3	6500	3	311	1	2000	1.490000e+02	1	1	0	7.041896e-01
164000	13000	trial type	3	4	2	4	6500	4	435	1	4000	1.640000e+02	1	1	0	9.251916e-01
181000	13000	trial type	2	1	1	2	6500	221	2	2	4000	1.810000e+02	2	1	0	7.074832e-01
198000	13000	trial type	2	4	1	2	6500	232	2	2	4000	1.980000e+02	2	1	0	4.331265e-01
215000	13000	trial type	4	1	1	4	6500	445	4	2	2000	2.150000e+02	2	1	0	7.232344e-01
230000	13000	trial type	2	1	1	2	6500	2	203	1	4000	2.300000e+02	2	0	0	1.114579e+00
247000	13000	trial type	4	1	2	1	6500	1	111	1	2000	2.470000e+02	1	1	0	1.115916e+00
262000	13000	trial type	2	3	2	3	6500	3	323	1	2000	2.620000e+02	1	1	0	5.690473e-01
277000	13000	trial type	1	3	2	3	6500	3	335	1	2000	2.770000e+02	1	1	0	2.876026e-01
292000	13000	trial type	4	3	1	4	6500	4	403	1	4000	2.920000e+02	2	0	0	3.778001e-01
309000	13000	trial type	1	2	2	2	6500	240	2	2	4000	3.090000e+02	1	0	0	7.323282e-01
326000	13000	trial type	2	4	2	4	6500	416	4	2	4000	3.260000e+02	2	1	0	4.579239e-01
343000	13000	trial type	1	3	2	3	6500	325	3	2	2000	3.430000e+02	2	1	0	4.569490e-01
358000	13000	trial type	3	4	1	3	6500	349	3	2	2000	3.580000e+02	2	1	0	3.880680e-01
373000	13000	trial type	2	3	1	2	6500	206	2	2	4000	3.730000e+02	2	1	0	4.962245e-01
