Trial Onset	Trial Duration	Trial Type	Sample 1	Sample 2	Memory Cue	Remembered Sample	WM Delay	Presented Stimulus 1	Presented Stimulus 2	Correct Stimulus	ITI	Timing	Keypress	Response	Too late	RT
8000	13000	trial type	3	4	1	3	6500	3	302	1	4000	8.003040e+00	1	1	0	3.082250e-01
25000	13000	trial type	3	2	1	3	6500	339	3	2	2000	2.500003e+01	2	1	0	3.409658e-01
40000	13000	trial type	4	2	2	2	6500	208	2	2	4000	4.000001e+01	2	1	0	2.895773e-01
57000	13000	trial type	1	4	1	1	6500	1	108	1	4000	5.700001e+01	2	0	0	5.458243e-01
74000	13000	trial type	3	4	2	4	6500	428	4	2	4000	7.400001e+01	2	1	0	3.042479e-01
91000	13000	trial type	2	1	2	1	6500	138	1	2	2000	9.100002e+01	1	0	0	1.072666e+00
106000	13000	trial type	1	4	2	4	6500	4	439	1	2000	1.060000e+02	2	0	0	3.822234e-01
121000	13000	trial type	4	3	2	3	6500	334	3	2	4000	1.210001e+02	2	1	0	3.201116e-01
138000	13000	trial type	2	1	2	1	6500	1	125	1	2000	1.380000e+02	1	1	0	3.308417e-01
153000	13000	trial type	4	2	2	2	6500	2	203	1	4000	1.530000e+02	1	1	0	7.236948e-01
170000	13000	trial type	2	3	2	3	6500	323	3	2	2000	1.700000e+02	2	1	0	4.126710e-01
185000	13000	trial type	1	2	1	1	6500	1	150	1	2000	1.850000e+02	2	0	0	8.315444e-01
200000	13000	trial type	4	1	1	4	6500	427	4	2	2000	2.000000e+02	2	1	0	4.898729e-01
215000	13000	trial type	3	1	2	1	6500	134	1	2	2000	2.150000e+02	2	1	0	5.537344e-01
230000	13000	trial type	2	4	2	4	6500	418	4	2	2000	2.300002e+02	2	1	0	1.068374e+00
245000	13000	trial type	3	2	2	2	6500	210	2	2	2000	2.450000e+02	1	0	0	4.110644e-01
260000	13000	trial type	3	1	1	3	6500	3	319	1	2000	2.600000e+02	2	0	0	4.043057e-01
275000	13000	trial type	3	2	1	3	6500	3	311	1	4000	2.750000e+02	2	0	0	5.411913e-01
292000	13000	trial type	1	3	1	1	6500	133	1	2	4000	2.920000e+02	2	1	0	4.980916e-01
309000	13000	trial type	4	1	1	4	6500	4	426	1	4000	3.090000e+02	1	1	0	5.295398e-01
326000	13000	trial type	4	1	2	1	6500	135	1	2	2000	3.260003e+02	2	1	0	9.491619e-01
341000	13000	trial type	4	2	1	4	6500	444	4	2	4000	3.410000e+02	1	0	0	5.184389e-01
358000	13000	trial type	1	3	1	1	6500	1	145	1	2000	3.580000e+02	1	1	0	2.893817e-01
373000	13000	trial type	1	2	2	2	6500	234	2	2	4000	3.730000e+02	1	0	0	4.438883e-01
